20:45:03.899454 config: drop-rate=0.20, max-delay=10ms, seed=1
20:45:03.899703 router is listening at :3000
20:52:25.074993 config: drop-rate=0.00, max-delay=0s, seed=1
20:52:25.075218 router is listening at :3000
20:52:27.024261 [queue=0] packet #2298391560, 127.0.0.1:50336 -> 127.0.0.1:80, sz=7 is delivered
20:52:29.032084 [queue=0] packet #1699424244, 127.0.0.1:50336 -> 127.0.0.1:80, sz=7 is delivered
20:52:31.037198 [queue=0] packet #3931094063, 127.0.0.1:50336 -> 127.0.0.1:80, sz=7 is delivered
20:52:33.038122 [queue=0] packet #1476623726, 127.0.0.1:50336 -> 127.0.0.1:80, sz=7 is delivered
20:52:35.043656 [queue=0] packet #2844884423, 127.0.0.1:50336 -> 127.0.0.1:80, sz=7 is delivered
20:52:37.047107 [queue=0] packet #3345318729, 127.0.0.1:50336 -> 127.0.0.1:80, sz=7 is delivered
20:52:39.050104 [queue=0] packet #1695814222, 127.0.0.1:50336 -> 127.0.0.1:80, sz=7 is delivered
20:52:41.054702 [queue=0] packet #2633480186, 127.0.0.1:50336 -> 127.0.0.1:80, sz=7 is delivered
20:52:43.059607 [queue=0] packet #502277584, 127.0.0.1:50336 -> 127.0.0.1:80, sz=7 is delivered
20:52:45.065125 [queue=0] packet #3767720103, 127.0.0.1:50336 -> 127.0.0.1:80, sz=7 is delivered
20:52:59.827965 [queue=0] packet #2051204, 127.0.0.1:63698 -> 127.0.0.1:80, sz=7 is delivered
20:53:01.837703 [queue=0] packet #1171861345, 127.0.0.1:63698 -> 127.0.0.1:80, sz=7 is delivered
20:53:20.586382 [queue=0] packet #3571320351, 127.0.0.1:57609 -> 127.0.0.1:80, sz=7 is delivered
20:53:20.588739 [queue=0] packet #3571320351, 127.0.0.1:80 -> 127.0.0.1:57609, sz=14 is delivered
20:53:20.593155 [queue=0] packet #3571320351, 127.0.0.1:57609 -> 127.0.0.1:81, sz=7 is delivered
20:53:20.594027 [queue=0] packet #3571320351, 127.0.0.1:57609 -> 127.0.0.1:81, sz=38 is delivered
20:53:21.115503 [queue=0] packet #3571320352, 127.0.0.1:81 -> 127.0.0.1:57609, sz=7 is delivered
20:53:21.116111 [queue=0] packet #3571320352, 127.0.0.1:57609 -> 127.0.0.1:81, sz=7 is delivered
20:53:21.116582 [queue=0] packet #3571320352, 127.0.0.1:81 -> 127.0.0.1:57609, sz=11 is delivered
20:53:21.187212 [queue=0] packet #3571320353, 127.0.0.1:81 -> 127.0.0.1:57609, sz=81 is delivered
20:53:21.691669 [queue=0] packet #3571320354, 127.0.0.1:57609 -> 127.0.0.1:81, sz=7 is delivered
20:53:21.692172 [queue=0] packet #3571320354, 127.0.0.1:81 -> 127.0.0.1:57609, sz=7 is delivered
