13:24:57.751391 config: drop-rate=0.00, max-delay=0s, seed=1
13:24:57.752394 router is listening at :3000
17:43:11.771888 config: drop-rate=0.10, max-delay=10ms, seed=1
17:43:11.772887 router is listening at :3000
17:43:19.581092 [queue=1] packet #2713379539, 127.0.0.1:63058 -> 127.0.0.1:80, sz=7 is delayed for 8.7ms
17:43:19.590085 [queue=0] packet #2713379539, 127.0.0.1:63058 -> 127.0.0.1:80, sz=7 is delivered
17:43:19.590085 [queue=1] packet #2713379539, 127.0.0.1:80 -> 127.0.0.1:63058, sz=14 is delayed for 5.9ms
17:43:19.596083 [queue=0] packet #2713379539, 127.0.0.1:80 -> 127.0.0.1:63058, sz=14 is delivered
17:43:19.863917 [queue=1] packet #2713379539, 127.0.0.1:63058 -> 127.0.0.1:89, sz=7 is delayed for 1.8ms
17:43:19.864916 [queue=1] packet #2713379539, 127.0.0.1:63058 -> 127.0.0.1:89, sz=46 is dropped
17:43:19.866915 [queue=0] packet #2713379539, 127.0.0.1:63058 -> 127.0.0.1:89, sz=7 is delivered
17:43:20.368326 [queue=1] packet #2713379539, 127.0.0.1:89 -> 127.0.0.1:63058, sz=7 is delayed for 5.6ms
17:43:20.374322 [queue=0] packet #2713379539, 127.0.0.1:89 -> 127.0.0.1:63058, sz=7 is delivered
17:43:20.374322 [queue=1] packet #2713379539, 127.0.0.1:63058 -> 127.0.0.1:89, sz=46 is delayed for 9.4ms
17:43:20.384316 [queue=0] packet #2713379539, 127.0.0.1:63058 -> 127.0.0.1:89, sz=46 is delivered
17:43:20.886005 [queue=1] packet #2713379540, 127.0.0.1:89 -> 127.0.0.1:63058, sz=7 is delayed for 6.2ms
17:43:20.893001 [queue=0] packet #2713379540, 127.0.0.1:89 -> 127.0.0.1:63058, sz=7 is delivered
17:43:20.893001 [queue=1] packet #2713379540, 127.0.0.1:63058 -> 127.0.0.1:89, sz=7 is delayed for 2.8ms
17:43:20.896998 [queue=0] packet #2713379540, 127.0.0.1:63058 -> 127.0.0.1:89, sz=7 is delivered
17:43:20.896998 [queue=1] packet #2713379540, 127.0.0.1:89 -> 127.0.0.1:63058, sz=11 is delayed for 1.1ms
